customer_id,name,email,signup_date,region
C1047,Walter Cook,walter.cookgmail.com,11-09-2022,North
C1014,XANDER ALLEN,xander.allen@outlook.com,2021-12-26,East
C1139,Eleanor Cox,eleanor.cox@hotmail.com,01-03-2022,West
C1162,Katherine Ramirez,katherine.ramirez@gmail.com,2021/08/29,Central
C1256,Timothy Barnes,timothy.barnes@outlook.com,13/32/2022,North
C1131,bella scott,bella.scott@hotmail.com,2021-10-23,Central
C1131,Vanessa Reed,vanessa.reed@gmailcom,2023/02/05,South
C1019,Noah Martin,noah.martin@outlook.com,18-11-2021,  
C1108,CAROL WHITE,,2021/05/09,West
C1035,Samantha Wood,samantha.wood@yahoo.com,27-08-2021,East
C1114,Noah Martin,noah.martin@outlook.com,2021/10/13,West
C1104,Michael Campbell,michael.campbell@yahoo.com,24-10-2021,South
C1120,Noah Martin,noah.martin@gmailcom,2022-09-09,South
C1135,Karen Thomas,karen.thomas@gmailcom,2021-01-11,North
C1060,Tina Lewis,tina.lewis@outlook.com,07-10-2021,
C1165,George Carter,,2022/11/22,North
C1075,Isabella Taylor,isabella.taylor@gmailcom,2022/08/23,
C1160,peter martinez,peter.martinez@outlook.com,14-11-2022,
C1298,Zachary Murphy,zachary.murphy@yahoo.com,2021-04-04,South
C1212,Grace Wilson,grace.wilson@outlook.com,25-03-2021,West
C1279,Carlos Green,carlos.green@outlook.com,30-01-2021,
C1176,Quincy Collins,quincy.collins@hotmail.com,2021-11-26,West
C1210,Fiona Nelson,fiona.nelson@gmail.com,09-02-2021,West
C1232,Jack Anderson,jack.anderson@outlook.com,2022/10/03,West
C1287,Zoe King,zoe.king@hotmail.com,27-08-2022,North
C1062,Grace Wilson,grace.wilson@hotmail.com,13/32/2022,
C1044,Christine Cooper,,2021/08/27,North
C1062,David Brown,david.brown@yahoo.com,2021/11/15,North
C1142,XANDER ALLEN,xander.allen@hotmail.com,2022-05-19,
C1235,Queenie Price,queenie.price@gmailcom,2021/03/22,Central
C1104,Hannah Mitchell,hannah.mitchell@outlook.com,2023-05-17,South
C1001,Kevin Turner,kevin.turner@hotmail.com,2022/04/03,
C1165,Fiona Nelson,fiona.nelson@gmail.com,2022-04-07,
C1221,Ulysses Rogers,ulysses.rogers@hotmail.com,2022-03-22,  
C1203,Robert Bennett,robert.bennett@gmail.com,15-07-2021,
C1069,Isabella Taylor,isabella.taylor@hotmail.com,2023/03/18,Central
C1146,Ethan Baker,ethan.baker@outlook.com,2021-03-24,East
C1138,Queenie Price,queenie.price@hotmail.com,2023/01/19,Central
C1203,Julia Roberts,JULIA.ROBERTS@YAHOO.COM,19-05-2023,South
C1254,Whitney Coleman,whitney.coleman@gmailcom,18-09-2021,Central
C1149,Quinn Robinson,quinn.robinson@hotmail.com,2021/01/13,Central
C1016,Quincy Collins,quincy.collinsgmail.com,17-11-2022,West
C1066,Karen Thomas,karen.thomas@hotmail.com,2021-12-03,  
C1073,Hannah Mitchell,hannah.mitchell@gmailcom,06-07-2022,
C1224,Frank Miller,frank.miller@yahoo.com,18-09-2022,
C1267,Walter Cook,walter.cook@hotmail.com,26-08-2022,Central
C1237,Jerome Gray,jerome.gray@yahoo.com,13/32/2022,
C1050,henry moore,henry.moore@outlook.com,2021-04-22,West
C1270,bob smith,bob.smith@outlook.com,2021-04-17,Central
C1090,Leonard James,leonard.james@hotmail.com,2023/06/23,
C1064,Quinn Robinson,quinn.robinson@yahoo.com,2023/06/13,
C1122,Hannah Mitchell,hannah.mitchell@outlook.com,2023-08-10,North
C1223,CAROL WHITE,carol.white@gmail.com,13-08-2022,
C1081,Ulysses Rogers,ulysses.rogers@outlook.com,05-03-2023,North
C1270,George Carter,george.carter@gmail.com,2021/04/28,  
C1034,Patrick Sanders,patrick.sanders@gmail.com,2022-04-27,
C1112,Wendy Hall,wendy.hall@hotmail.com,13/32/2022,South
C1266,Queenie Price,queenie.price@yahoo.com,2021/03/13,
C1240,Jerome Gray,jerome.gray@yahoo.com,16-09-2021,South
C1224,Ophelia Kelly,ophelia.kelly@yahoo.com,2021-12-13,  
C1173,Yasmine Bell,yasmine.bell@outlook.com,2023/05/30,
C1252,Olivia Garcia,olivia.garciagmail.com,19-05-2021,
C1195,Xena Morgan,xena.morgan@yahoo.com,2021-02-07,  
C1030,Victor Walker,victor.walker@outlook.com,2022/04/25,Central
C1131,bella scott,bella.scott@hotmail.com,2021-09-20,Central
C1195,Patrick Sanders,patrick.sanders@hotmail.com,2022-12-20,  
C1291,Walter Cook,walter.cook@hotmail.com,06-07-2021,West
C1238,Eleanor Cox,eleanor.cox@yahoo.com,2023/03/24,East
C1196,Jerome Gray,jerome.graygmail.com,2022/01/03,Central
C1206,Ivan Perez,ivan.perez@hotmail.com,2022-09-05,
C1029,Ethan Baker,ethan.baker@gmail.com,2022-03-09,  
C1232,Vanessa Reed,vanessa.reed@outlook.com,2023/04/23,
C1292,Xena Morgan,xena.morgan@hotmail.com,not-a-date,
C1087,Queenie Price,queenie.price@yahoo.com,2021/10/04,  
C1018,Laura Phillips,laura.phillips@yahoo.com,20-11-2021,  
C1217,Olivia Garcia,olivia.garcia@yahoo.com,2023-04-27,South
C1248,Yara Young,yara.young@yahoo.com,2021-10-30,  
C1297,Samantha Wood,samantha.wood@gmail.com,2023/04/10,West
C1169,David Brown,david.browngmail.com,2021/07/02,Central
C1110,Derek Richardson,derek.richardson@yahoo.com,28-04-2023,
C1115,Zoe King,zoe.king@gmailcom,not-a-date,South
C1116,LIAM JACKSON,liam.jackson@gmail.com,2022-12-22,
C1297,Vanessa Reed,vanessa.reed@outlook.com,2023/02/03,
C1102,Gloria Ward,gloria.ward@yahoo.com,2022-11-07,
C1276,Patrick Sanders,,2023/02/24,East
C1180,Monica Watson,monica.watsongmail.com,2021-02-08,
C1137,Isabella Taylor,isabella.taylor@outlook.com,27-05-2022,
C1208,Julia Roberts,,31-03-2022,West
C1104,Michael Campbell,michael.campbell@yahoo.com,24-10-2021,South
C1146,Jack Anderson,jack.anderson@gmail.com,04-06-2022,
C1297,Quincy Collins,quincy.collins@gmailcom,2021/12/13,East
C1266,Michael Campbell,michael.campbell@gmail.com,13/32/2022,
C1135,Karen Thomas,karen.thomas@gmailcom,2021-03-18,North
C1241,Fiona Nelson,fiona.nelson@yahoo.com,2023/08/02,  
C1033,Zachary Murphy,zachary.murphy@gmail.com,2023/04/11,Central
C1034,LIAM JACKSON,liam.jackson@gmail.com,2023/02/02,
C1268,Kevin Turner,kevin.turner@yahoo.com,2021-10-21,Central
C1073,Amy Bailey,amy.bailey@yahoo.com,13/32/2022,Central
C1171,Isabella Taylor,isabella.taylor@hotmail.com,2023/01/12,East
C1003,Leonard James,leonard.james@yahoo.com,2022/06/30,West
C1192,Tina Lewis,tina.lewis@gmailcom,2023/03/01,East
C1161,Tina Lewis,tina.lewis@hotmail.com,07-11-2021,North
C1206,Laura Phillips,laura.phillips@yahoo.com,21-08-2023,East
C1085,Michael Campbell,michael.campbell@gmail.com,27-02-2021,
C1223,LIAM JACKSON,liam.jackson@yahoo.com,25-06-2023,North
C1185,  Mia Harris  ,mia.harris@outlook.com,23-10-2022,North
C1236,Kevin Turner,kevin.turner@hotmail.com,2023-04-17,East
C1215,George Carter,george.carter@hotmail.com,not-a-date,North
C1288,David Brown,david.browngmail.com,07-06-2023,East
C1254,Kevin Turner,kevin.turner@yahoo.com,2021-12-27,West
C1067,LIAM JACKSON,liam.jackson@outlook.com,2021-06-29,East
C1136,Rebecca Stewart,rebecca.stewartgmail.com,2022-04-10,Central
C1181,Hannah Mitchell,hannah.mitchell@outlook.com,2022-06-14,South
C1203,Zoe King,zoe.kinggmail.com,2022-10-05,South
C1108,Robert Bennett,robert.bennett@yahoo.com,2022/02/13,
C1213,Laura Phillips,laura.phillipsgmail.com,not-a-date,East
C1216,Julia Roberts,,2021/05/14,Central
C1039,Nathan Brooks,nathan.brooks@yahoo.com,24-12-2021,East
C1101,Tina Lewis,tina.lewis@yahoo.com,2023/03/09,North
C1296,Robert Bennett,,2021/02/21,
C1121,Victor Walker,victor.walker@hotmail.com,2022-02-15,East
C1168,Julia Roberts,julia.roberts@outlook.com,06-06-2022,  
C1169,  Mia Harris  ,mia.harris@hotmail.com,22-07-2023,North
C1207,Victor Walker,victor.walker@yahoo.com,2022-07-01,
C1008,Wendy Hall,wendy.hall@yahoo.com,2022-06-23,South
C1059,Xena Morgan,xena.morgan@yahoo.com,27-12-2022,North
C1073,Hannah Mitchell,hannah.mitchell@gmailcom,06-07-2022,
C1218,Samantha Wood,samantha.wood@yahoo.com,02-05-2022,Central
C1126,Julia Roberts,julia.roberts@hotmail.com,09-10-2021,South
C1226,Samantha Wood,samantha.woodgmail.com,2022-07-08,South
C1285,Ulysses Rogers,ulysses.rogersgmail.com,2021/09/28,South
C1043,Fiona Nelson,fiona.nelsongmail.com,2022/09/13,West
C1087,Wendy Hall,wendy.hallgmail.com,2022/09/27,West
C1173,Yasmine Bell,yasmine.bell@outlook.com,2023/05/30,
C1020,Teresa Morris,teresa.morris@yahoo.com,2021/12/29,
C1185,Vincent Henderson,VINCENT.HENDERSON@YAHOO.COM,13/32/2022,West
C1097,Queenie Price,queenie.price@hotmail.com,2022-04-19,South
C1124,Samuel Rodriguez,samuel.rodriguez@gmail.com,2023-06-01,
C1294,Walter Cook,walter.cook@outlook.com,04-02-2022,  
C1210,Teresa Morris,teresa.morris@hotmail.com,2023-01-09,Central
C1083,Nancy Parker,nancy.parkergmail.com,not-a-date,
C1291,henry moore,henry.moore@gmail.com,2021/08/01,West
C1258,Wendy Hall,,2022/03/26,  
C1300,Michael Campbell,michael.campbell@hotmail.com,13-04-2022,West
C1257,Patrick Sanders,patrick.sanders@gmailcom,2021-03-24,South
C1237,Michael Campbell,michael.campbell@gmail.com,2023-08-27,Central
C1274,CAROL WHITE,carol.white@yahoo.com,26-10-2021,North
C1221,Ulysses Rogers,ulysses.rogers@hotmail.com,2022-02-06,  
C1007,Queenie Price,queenie.price@gmailcom,not-a-date,  
C1268,Kevin Turner,kevin.turner@yahoo.com,2022-01-05,Central
C1136,Samantha Wood,samantha.wood@gmailcom,2023/06/21,
C1276,Patrick Sanders,,2023/02/24,East
C1234,Ursula Ross,ursula.ross@gmail.com,03-06-2022,East
C1165,Fiona Nelson,fiona.nelson@gmail.com,2022-03-05,
C1047,Christine Cooper,christine.cooper@gmail.com,2021-07-04,
C1055,Diana Adams,diana.adams@outlook.com,2021/08/15,South
C1033,Zachary Murphy,zachary.murphy@gmail.com,2023/04/11,Central
C1180,Gloria Ward,gloria.ward@outlook.com,2023-01-09,
C1014,Oscar Evans,oscar.evans@outlook.com,2021-05-21,Central
C1066,Timothy Barnes,,30-07-2022,South
C1043,Kevin Turner,kevin.turner@outlook.com,2023-09-02,Central
C1256,Wendy Hall,wendy.hall@gmail.com,2021/11/02,  
C1194,Alice Johnson,alice.johnson@outlook.com,15-03-2023,Central
C1083,Vanessa Reed,vanessa.reed@outlook.com,2022/12/01,South
C1147,Zachary Murphy,zachary.murphy@gmail.com,19-11-2021,
C1128,Grace Wilson,grace.wilson@outlook.com,2021/04/16,  
C1056,David Brown,david.brown@gmailcom,2023-03-19,
C1034,Ethan Baker,ethan.baker@yahoo.com,2021/02/10,South
C1148,Karen Thomas,karen.thomas@gmail.com,2022/04/10,
C1178,Isabella Taylor,isabella.taylor@outlook.com,2022/03/25,Central
C1290,Karen Thomas,karen.thomas@yahoo.com,2022-09-25,South
C1164,Iris Peterson,iris.peterson@gmail.com,11-04-2023,South
C1063,Kevin Turner,kevin.turnergmail.com,2022/04/06,East
C1191,Derek Richardson,derek.richardson@gmailcom,2022/08/03,East
C1061,Queenie Price,queenie.price@yahoo.com,27-01-2023,Central
C1209,Felix Howard,felix.howard@hotmail.com,26-08-2021,Central
C1191,George Carter,george.carter@outlook.com,2021-12-20,South
C1073,Ursula Ross,ursula.ross@gmail.com,2022-10-11,South
C1165,Katherine Ramirez,,19-06-2023,West
C1078,Uma Lee,uma.lee@hotmail.com,30-01-2022,
C1119,Queenie Price,queenie.price@hotmail.com,18-07-2021,
C1212,  Mia Harris  ,mia.harris@outlook.com,2022-01-19,
C1277,Harold Torres,harold.torres@yahoo.com,2022/02/03,North
C1178,Amy Bailey,amy.bailey@gmail.com,04-12-2021,
C1243,Felix Howard,felix.howard@gmail.com,2021/08/15,North
C1229,CAROL WHITE,carol.whitegmail.com,2022-12-10,Central
C1090,Leonard James,leonard.james@hotmail.com,2023/06/23,
C1112,Patricia Edwards,patricia.edwards@gmail.com,02-02-2021,
C1173,Yasmine Bell,yasmine.bell@outlook.com,2023/05/30,
C1123,Amy Bailey,amy.bailey@yahoo.com,2022/10/24,
C1059,Zachary Murphy,zachary.murphy@gmail.com,10-07-2022,
C1269,Nancy Parker,,2022-09-06,North
C1059,Noah Martin,noah.martin@yahoo.com,2022-09-12,
C1137,Vincent Henderson,,2022/04/27,
C1268,Karen Thomas,karen.thomas@outlook.com,15-08-2021,East
C1001,Julia Roberts,julia.roberts@yahoo.com,08-07-2022,East
C1027,Yara Young,yara.young@hotmail.com,2023-02-18,West
C1010,Tina Lewis,tina.lewis@hotmail.com,2022-08-01,
C1001,Julia Roberts,julia.roberts@yahoo.com,08-07-2022,East
C1219,Timothy Barnes,timothy.barnes@gmail.com,2022/11/05,Central
C1035,Monica Watson,monica.watson@gmail.com,23-04-2023,South
C1029,Ethan Baker,ethan.baker@gmail.com,2022-05-13,  
C1276,Quinn Robinson,quinn.robinson@hotmail.com,30-04-2022,West
C1154,peter martinez,peter.martinez@gmail.com,2022/03/15,
C1025,Hannah Mitchell,hannah.mitchell@yahoo.com,12-12-2021,Central
C1128,Rachel Clark,rachel.clark@gmail.com,2022-03-28,
